measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2016,8367.012324218033,14147.180144388483,4521.609884067884
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2016,0.0362955358073424,0.060077135269375,0.0204341912337503
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2016,32.14343816887,54.34903076679,17.37060758374
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2017,8713.031464719812,14677.222904831766,4750.027077977325
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2017,0.0376122261265108,0.062170480517215,0.0208432503731382
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2017,33.35576053589,56.18824338324,18.1843444952
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2018,9108.31646971534,15353.73577395506,4917.246047788434
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2018,0.0388949494759751,0.0644130575726373,0.021086936963246
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2018,34.75792069097,58.59084190977,18.76452676137
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2019,9508.881111756886,16133.15011025433,5046.588463963404
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2019,0.0402053948395258,0.0665712346176647,0.0214642930850174
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2019,36.184161868850005,61.39150423514,19.20379187828
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2020,9929.788823779674,16959.008169323206,5072.789119044159
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2020,0.0412927158290992,0.0678123597314373,0.0216482429313522
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2020,37.695980042129996,64.38066758824,19.25758551194
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2021,10379.53411424748,17808.429336874877,5335.870151521135
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2021,0.0427909880898846,0.0707335770643576,0.0227248703070901
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,108,High body-mass index,3,Rate,2021,39.32794052336,67.47594276065,20.21755327836
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,294,All causes,108,High body-mass index,1,Number,2016,1629.7578537058023,2609.3625221897405,866.8911636265541
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,294,All causes,108,High body-mass index,2,Percent,2016,0.0363264437019529,0.0566831537827455,0.019086111474349
